timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-15T11:37:42.851500,35.1,35.7,27.0,26.0,34.7,13.0,4.0,3.0
2026-04-15T11:37:43.856743,40.4,39.4,34.3,31.3,46.4,27.0,19.8,17.8
2026-04-15T11:37:44.859394,49.0,49.5,42.9,37.0,30.0,31.6,15.2,8.0
2026-04-15T11:37:45.864840,33.7,28.3,22.0,20.2,29.9,13.1,3.0,2.0
2026-04-15T11:37:46.867524,38.4,35.7,30.3,27.3,29.9,7.9,2.0,2.0
2026-04-15T11:37:47.869222,35.7,37.4,30.3,27.3,28.6,7.1,3.0,0.0
2026-04-15T11:37:48.873675,43.9,40.4,38.4,30.0,17.2,10.1,3.0,1.0
2026-04-15T11:37:49.879096,28.0,26.0,19.0,14.0,23.5,19.2,2.0,1.0
2026-04-15T11:37:50.880582,31.6,28.6,23.5,19.4,29.9,3.0,1.0,1.0
